frame,cars,police,robber
1,15,2,0
2,12,2,0
3,15,2,0
4,17,2,0
5,16,2,0
6,17,2,0
7,15,2,0
8,14,2,0
9,17,2,0
10,18,2,0
11,14,2,0
12,14,2,0
13,21,2,0
14,13,2,0
15,19,2,0
16,12,2,0
17,17,2,0
18,13,2,0
19,12,2,0
20,12,2,0
21,18,2,1
22,12,2,1
23,18,2,1
24,11,2,0
25,18,1,0
26,12,2,0
27,20,2,0
28,20,2,0
29,14,2,0
30,12,1,1
31,17,1,1
32,12,1,1
33,18,0,1
34,19,0,1
35,12,2,1
36,11,0,1
37,19,0,1
38,12,1,1
39,22,0,1
40,12,2,1
41,12,1,1
42,18,1,1
43,12,1,1
44,20,0,1
45,18,1,1
46,12,1,0
47,18,1,1
48,11,1,0
49,11,2,0
50,18,2,1
51,12,1,0
52,13,0,0
53,18,1,1
54,13,0,0
55,19,0,1
56,13,0,0
57,12,0,0
58,23,0,1
59,13,0,0
60,22,0,0
61,20,0,0
62,11,1,0
