frame,police_id,can_intercept,time_to_intercept,distance
8,0,0,-1,0.0
8,2,0,3.0,65.69361906518765
9,0,0,-1,0.0
9,2,0,3.0,276.27603928362487
10,0,0,3.0,113.52004673273103
10,2,0,-1,0.0
12,0,0,3.0,64.98095434827513
12,2,0,3.0,64.98095434827513
14,0,0,-1,0.0
14,2,0,3.0,63.38682062585383
15,0,0,-1,0.0
15,2,0,3.0,147.7740801853937
17,0,0,3.0,62.960366613965704
17,2,0,3.0,62.960366613965704
20,0,0,3.0,51.83936493496932
20,2,0,-1,0.0
22,0,0,-1,0.0
22,2,0,-1,0.0
25,0,0,-1,0.0
25,2,0,-1,0.0
27,0,0,-1,0.0
27,2,0,-1,0.0
27,13,0,3.0,60.57435249282929
28,0,0,3.0,244.5662179539654
28,2,0,-1,0.0
28,12,0,3.0,244.5662179539654
28,13,1,2.1,171.1963525677758
30,2,0,-1,0.0
30,12,0,-1,0.0
30,13,0,3.0,11.20558401939767
32,2,0,-1,0.0
32,12,0,3.0,15.616165628862866
32,13,0,3.0,15.616165628862866
33,2,0,-1,0.0
33,12,0,-1,0.0
33,13,1,3.0,72.08462540996521
35,2,0,-1,0.0
35,12,0,3.0,9.9272527597372
35,13,0,3.0,9.9272527597372
37,2,0,-1,0.0
37,12,0,3.0,4.865759323622626
37,13,0,3.0,4.865759323622626
