frame,police_id,can_intercept,time_to_intercept,distance
10,15,0,-1,0.0
10,19,0,-1,0.0
11,15,0,-1,0.0
11,19,0,3.0,187.63655087929826
13,15,0,3.0,97.60879902506608
13,19,0,3.0,97.60879902506608
16,15,0,3.0,58.68876109733966
17,15,0,3.0,86.95271508091346
24,21,0,-1,0.0
25,47,0,-1,0.0
25,21,0,3.0,140.99319948098116
26,47,0,3.0,105.78634119642842
26,21,0,3.0,105.78634119642842
27,47,0,3.0,111.43672533713791
27,21,0,3.0,111.43672533713791
28,47,0,3.0,112.64319273841151
30,47,0,3.0,66.0658915814265
33,47,0,3.0,50.14092371455611
33,21,0,3.0,50.14092371455611
