frame,cars,police,robber
1,15,2,0
2,11,3,0
3,11,2,0
4,15,2,0
5,17,2,1
6,14,2,0
7,17,2,1
8,15,2,0
9,15,2,0
10,18,2,1
11,14,2,0
12,17,2,1
13,14,2,0
14,18,2,1
15,14,2,0
16,14,2,0
17,20,1,1
18,14,1,0
19,21,1,1
20,14,2,0
21,15,3,0
22,21,0,1
23,14,2,0
24,20,1,1
25,22,0,1
26,14,1,0
27,20,1,1
28,13,2,0
29,14,2,0
30,19,1,1
31,12,3,0
32,20,1,1
33,12,1,0
34,19,2,1
35,19,2,1
36,11,2,0
37,13,1,0
38,20,2,1
39,14,1,0
40,12,1,0
41,21,1,1
42,15,1,0
43,19,2,1
44,16,0,0
45,20,1,1
46,12,2,0
47,21,2,1
48,12,1,0
49,20,2,1
50,19,1,1
51,12,1,0
52,16,1,0
53,14,1,0
54,20,2,1
55,10,2,0
56,19,2,1
57,12,1,0
58,13,2,0
59,18,1,1
60,13,1,0
61,12,1,0
62,18,1,1
63,20,1,1
64,17,1,0
65,16,1,0
66,21,1,1
67,17,0,0
68,20,1,1
69,15,3,0
70,17,2,1
71,16,0,0
72,17,1,1
73,14,2,1
74,20,0,1
75,16,1,1
76,15,1,1
77,15,1,1
78,15,1,1
79,15,1,1
80,16,0,1
81,17,0,1
82,21,0,1
83,18,0,1
84,21,0,1
85,16,2,1
86,13,2,1
87,20,2,1
88,15,1,1
89,19,2,1
90,21,2,1
91,14,1,1
92,20,2,1
93,17,1,0
94,21,0,1
95,16,1,0
96,20,1,1
97,20,1,1
98,14,1,0
99,19,0,1
100,15,0,0
101,18,0,1
102,14,0,0
103,12,2,0
104,15,1,0
105,19,1,1
106,15,1,0
107,16,2,1
108,15,1,0
109,16,2,0
110,18,1,0
111,18,1,0
112,18,1,0
113,15,1,0
114,14,2,0
115,18,3,0
116,14,1,1
117,18,2,0
118,17,1,1
119,13,2,1
120,13,0,1
121,17,2,1
122,12,1,1
123,17,1,1
124,18,2,1
125,14,2,1
126,12,1,0
127,17,1,0
128,10,1,0
129,19,0,0
130,19,0,0
131,14,1,0
132,17,1,0
