frame,active_count
1,17
2,14
3,17
4,17
5,25
6,23
7,25
8,23
9,25
10,23
11,25
12,23
13,25
14,23
15,23
16,25
17,23
18,25
19,25
20,23
21,23
22,25
23,25
24,23
25,25
26,23
27,23
28,25
29,23
30,25
31,25
32,23
33,23
34,25
35,23
36,25
37,23
38,23
39,25
40,23
41,25
42,25
43,23
44,22
45,25
46,22
47,25
48,24
49,22
50,22
51,22
52,22
53,24
54,22
55,22
56,22
57,22
58,22
59,21
60,21
61,22
62,21
63,22
64,20
65,22
66,20
67,22
68,20
69,22
70,22
71,19
72,19
73,22
74,19
75,22
76,22
77,19
78,25
79,29
80,25
81,29
82,29
83,25
84,25
85,29
86,25
87,29
88,29
89,25
90,29
91,25
92,25
93,29
94,29
95,25
96,29
97,25
98,25
99,29
100,25
101,29
102,25
103,29
104,29
105,25
