frame,police_id,can_intercept,time_to_intercept,distance
5,0,1,336.37406353490667,0.0
5,11,1,-1,0.0
7,0,0,3.0,23.205873520623342
7,11,0,-1,0.0
9,0,0,3.0,42.29879358088949
9,11,0,-1,0.0
11,0,0,-1,0.0
11,11,0,3.0,127.57802279991532
13,0,0,-1,0.0
13,11,0,3.0,66.50006372714272
22,0,0,-1,0.0
22,11,0,-1,0.0
23,0,0,-1,0.0
23,11,1,1.5,35.823936369677995
25,0,0,-1,0.0
25,11,0,3.0,36.39525120072196
28,0,0,-1,0.0
30,0,0,-1,0.0
31,0,1,-1,0.0
31,15,1,29.59820286027294,0.0
34,0,0,-1,0.0
34,11,0,3.0,69.09908516855806
34,15,0,3.0,69.09908516855806
36,0,0,-1,0.0
36,11,0,3.0,43.305842029129195
36,15,0,3.0,43.305842029129195
39,0,0,-1,0.0
39,11,0,3.0,79.61879684210884
39,15,0,3.0,79.61879684210884
41,0,0,-1,0.0
41,11,0,3.0,35.71548893066611
41,15,0,3.0,35.71548893066611
42,0,0,-1,0.0
42,11,0,3.0,57.25990572656153
45,0,0,-1,0.0
45,11,0,3.0,80.50097564051828
45,14,0,3.0,80.50097564051828
47,0,0,-1,0.0
47,11,0,3.0,47.16103518502815
47,14,0,3.0,47.16103518502815
48,0,0,-1,0.0
48,11,0,3.0,49.46996044105355
48,14,0,3.0,49.46996044105355
53,0,0,-1,0.0
53,11,0,3.0,49.74420783570988
54,11,1,16.34556744121682,0.0
57,2,0,3.0,36.88765361522983
57,11,0,3.0,36.88765361522983
57,23,0,-1,0.0
58,2,1,16.9016761400099,0.0
58,11,1,16.258724029794504,0.0
58,23,1,-1,0.0
61,2,1,15.44490532056438,0.0
61,11,1,23.171821036226405,0.0
61,23,1,-1,0.0
63,2,1,25.51276192477886,0.0
63,11,1,36.19419017781341,0.0
63,23,1,-1,0.0
65,2,1,26.645923142179967,0.0
65,11,1,21.132474755596117,0.0
67,11,1,14.986951668486785,0.0
69,11,1,28.540979704626018,0.0
75,11,0,3.0,61.58231890399054
76,11,0,3.0,109.4283907202672
85,2,1,-1,0.0
87,2,1,-1,0.0
89,12,0,3.0,121.80767719954606
98,12,0,3.0,70.31804996118433
98,24,0,-1,0.0
100,12,1,-1,0.0
100,24,1,10.974255938382207,0.0
100,28,1,15.214521637073934,0.0
102,12,0,-1,0.0
102,24,0,3.0,597.1523361952368
102,28,0,3.0,597.1523361952368
105,12,1,-1,0.0
105,24,1,11.154860538466092,0.0
105,28,1,-1,0.0
