frame,active_count
1,17
2,14
3,17
4,14
5,20
6,14
7,9
8,18
9,17
10,20
11,17
12,20
13,18
14,17
15,16
16,15
17,15
18,17
19,16
20,17
21,12
22,16
23,13
24,18
25,16
26,14
27,14
28,13
29,15
30,14
31,15
32,11
33,12
34,15
35,13
36,12
37,12
38,16
39,13
40,17
41,11
42,19
43,10
44,19
45,19
46,11
47,9
48,18
49,11
50,18
51,18
52,11
53,17
54,11
55,11
56,20
57,14
58,21
59,16
60,20
61,16
62,20
63,16
64,18
65,18
66,15
67,15
68,19
69,14
70,23
71,17
72,15
73,23
74,12
75,22
76,22
77,17
78,17
79,23
80,17
81,22
82,17
83,21
84,16
85,21
86,20
87,15
88,16
89,21
90,19
91,22
92,21
93,17
94,14
95,21
96,15
97,21
98,22
99,17
100,16
101,20
102,16
103,19
104,19
105,14
106,11
107,18
108,15
109,20
110,15
111,18
112,21
113,15
114,21
115,21
116,15
117,16
118,21
119,18
120,21
121,21
122,18
123,18
124,20
125,18
126,21
