frame,cars,police,robber
1,15,2,0
2,12,2,0
3,15,2,0
4,16,2,0
5,17,2,1
6,16,2,0
7,17,2,1
8,16,2,0
9,16,1,0
10,17,2,1
11,16,2,0
12,18,2,1
13,17,1,1
14,15,2,0
15,16,1,1
16,16,0,0
17,16,1,0
18,16,1,1
19,16,0,0
20,15,1,1
21,17,3,0
22,15,1,1
23,16,3,0
24,16,3,0
25,15,1,0
26,13,2,0
27,14,1,0
28,14,0,1
29,14,2,0
30,16,0,1
31,15,0,0
32,13,1,0
33,12,1,0
34,17,2,1
35,13,0,0
36,11,1,0
37,12,1,0
38,15,2,1
39,13,1,0
40,17,2,1
41,10,1,0
42,17,2,1
43,12,1,0
44,17,2,1
45,18,2,1
46,10,1,0
47,10,1,0
48,17,1,0
49,10,1,0
50,17,1,0
51,18,1,0
52,14,1,0
53,18,1,1
54,12,0,0
55,14,1,0
56,18,2,1
57,16,0,0
58,19,2,1
59,15,2,0
60,18,1,1
61,16,0,0
62,19,1,1
63,15,1,0
64,17,0,1
65,18,1,1
66,16,0,0
67,16,1,1
68,21,2,1
69,15,1,1
70,21,2,1
71,15,1,1
72,16,2,1
73,21,2,1
74,15,1,1
75,22,2,1
76,23,1,1
77,16,2,1
78,16,1,1
79,23,1,1
80,18,0,0
81,24,0,1
82,15,2,0
83,22,2,0
84,14,2,0
85,20,1,0
86,22,1,0
87,16,1,0
88,16,2,1
89,20,2,1
90,16,3,1
91,19,3,1
92,19,2,1
93,14,2,1
94,15,2,0
95,20,1,1
96,16,1,0
97,21,2,0
98,21,2,0
99,17,0,0
100,15,1,0
101,19,2,0
102,16,1,0
103,21,1,0
104,17,2,0
105,12,3,0
106,15,1,1
107,19,2,0
108,15,1,1
109,19,2,0
110,16,1,1
111,16,1,1
112,21,1,0
113,15,0,0
114,20,1,0
115,20,2,0
116,17,0,0
117,18,0,1
118,20,1,0
119,19,0,0
120,20,1,0
121,19,2,0
122,19,0,1
123,19,0,0
124,19,2,0
125,20,0,0
126,20,1,0
