frame,police_id,can_intercept,time_to_intercept,distance
5,18,1,-1,0.0
5,27,1,-1,0.0
10,18,0,3.0,65.28280669338112
10,27,0,3.0,65.28280669338112
12,18,0,3.0,85.90018236489458
12,27,0,3.0,85.90018236489458
38,27,1,8.596558932903985,0.0
42,18,1,-1,0.0
42,27,1,9.478970626571863,0.0
44,18,0,3.0,79.6221403906426
44,27,0,3.0,79.6221403906426
45,18,0,3.0,82.02953019236662
45,27,0,3.0,82.02953019236662
56,27,1,30.19138675213957,0.0
58,18,0,3.0,81.16606672006837
58,27,0,3.0,81.16606672006837
60,18,0,3.0,64.07530482508541
62,18,0,3.0,98.4613211891565
68,18,0,3.0,94.23499383080726
70,18,0,3.0,112.16874005066668
73,18,0,3.0,103.4382334095358
73,27,0,3.0,103.4382334095358
75,18,0,3.0,119.58328032050036
75,27,0,3.0,119.58328032050036
77,67,0,-1,0.0
77,2,0,3.0,51.19735220480982
78,4,0,3.0,175.67486222526526
79,70,0,-1,0.0
81,70,0,3.0,112.8379271283345
90,2,1,-1,0.0
90,4,1,6.15680694657224,0.0
90,13,1,11.143833288160286,0.0
91,27,1,126.80616827652912,0.0
91,59,1,23.83760744039507,0.0
92,59,0,3.0,90.5509567918138
92,70,0,3.0,90.5509567918138
93,2,0,3.0,36.49135870769892
93,13,0,3.0,36.49135870769892
95,59,0,3.0,54.03575852502393
