frame,active_count
1,17
2,14
3,17
4,24
5,23
6,24
7,24
8,23
9,24
10,23
11,24
12,23
13,24
14,24
15,23
16,24
17,23
18,24
19,23
20,24
21,23
22,23
23,24
24,23
25,24
26,24
27,23
28,24
29,23
30,24
31,23
32,24
33,23
34,24
35,23
36,24
37,24
38,23
39,24
40,23
41,23
42,24
43,23
44,23
45,23
46,21
47,23
48,21
49,23
50,21
51,21
52,21
53,21
54,23
55,21
56,23
57,23
58,21
59,21
60,19
61,19
62,19
63,18
64,18
65,16
66,15
67,23
68,23
69,15
70,23
71,15
72,23
73,22
74,18
75,21
76,18
77,18
78,21
79,21
80,18
81,21
82,18
83,18
84,21
85,18
86,21
87,21
88,18
