frame,cars,police,robber
1,15,2,0
2,12,2,0
3,15,2,0
4,16,2,1
5,16,2,0
6,17,2,1
7,17,2,1
8,16,2,0
9,17,2,1
10,15,2,1
11,17,1,1
12,15,2,1
13,17,1,1
14,17,2,1
15,15,2,1
16,17,0,1
17,14,2,1
18,19,1,1
19,14,1,1
20,16,1,1
21,15,1,1
22,14,3,0
23,15,2,1
24,13,3,0
25,13,2,1
26,13,2,1
27,15,2,0
28,16,0,1
29,14,1,0
30,16,0,1
31,14,2,0
32,16,1,1
33,14,1,0
34,17,1,1
35,15,1,0
36,15,1,1
37,15,2,1
38,12,1,0
39,15,1,1
40,11,0,0
41,12,2,0
42,14,2,1
43,11,1,0
44,14,0,0
45,10,1,0
46,10,1,0
47,17,0,1
48,11,1,0
49,13,1,1
50,14,1,0
51,14,2,0
52,12,2,0
53,12,1,0
54,17,0,0
55,12,1,0
56,17,0,0
57,16,2,0
58,12,1,0
59,13,1,1
60,10,1,1
61,10,2,1
62,9,2,1
63,11,2,1
64,11,2,1
65,12,1,1
66,14,0,0
67,13,1,0
68,15,0,0
69,13,1,0
70,16,0,0
71,14,1,0
72,16,1,0
73,16,0,0
74,16,1,0
75,16,0,0
76,15,1,0
77,13,2,0
78,16,0,0
79,15,1,0
80,13,2,0
81,17,0,0
82,14,1,1
83,14,2,1
84,15,0,0
85,13,2,1
86,15,0,0
87,15,0,0
88,13,3,1
