frame,police_id,can_intercept,time_to_intercept,distance
4,0,1,257.1031446464004,0.0
4,11,1,-1,0.0
6,0,0,3.0,69.36712113884496
6,11,0,-1,0.0
7,0,0,-1,0.0
7,11,0,-1,0.0
9,0,0,3.0,204.49278477035466
9,11,0,3.0,204.49278477035466
11,0,0,-1,0.0
11,11,0,3.0,50.69090457893179
13,0,0,-1,0.0
13,11,0,3.0,62.5507071894182
14,0,0,3.0,110.99107783872661
14,11,0,3.0,110.99107783872661
16,0,1,-1,0.0
16,11,1,-1,0.0
18,0,1,17.940181316806086,0.0
18,6,1,-1,0.0
18,11,1,-1,0.0
21,0,0,-1,0.0
21,1,1,2.6999999999999997,56.33049524246303
21,5,0,-1,0.0
22,0,1,17.11706615164463,0.0
22,1,1,5.875850900312255,0.0
22,5,1,-1,0.0
24,0,1,156.81198779770315,0.0
24,1,1,12.466669482018423,0.0
24,5,1,-1,0.0
24,12,1,39.24767784559233,0.0
24,13,1,-1,0.0
47,0,1,-1,0.0
47,1,1,-1,0.0
49,0,1,-1,0.0
49,1,1,-1,0.0
54,0,0,-1,0.0
54,1,0,3.0,28.59310754334349
56,0,0,-1,0.0
61,0,0,-1,0.0
61,9,0,-1,0.0
61,22,0,3.0,69.30884557367222
62,0,0,-1,0.0
62,9,0,-1,0.0
62,22,0,3.0,48.14973320965771
63,0,0,-1,0.0
63,4,0,3.0,59.1354592002582
63,9,0,-1,0.0
63,22,0,3.0,59.1354592002582
64,0,0,-1,0.0
64,4,0,3.0,79.97682194121714
64,9,0,-1,0.0
64,22,0,3.0,79.97682194121714
65,0,0,-1,0.0
65,4,0,3.0,67.3118015526497
65,9,0,-1,0.0
65,22,0,3.0,67.3118015526497
66,4,0,3.0,408.42473354744516
66,9,0,-1,0.0
66,22,0,-1,0.0
69,4,0,3.0,23.483294102592854
69,9,0,-1,0.0
69,22,0,3.0,23.483294102592854
85,22,0,3.0,29.21613465722328
88,22,0,3.0,34.824769958547904
