frame,active_count
1,17
2,14
3,17
4,16
5,19
6,11
7,14
8,20
9,15
10,15
11,19
12,16
13,15
14,17
15,18
16,14
17,18
18,13
19,16
20,13
21,19
22,15
23,14
24,19
25,19
26,15
27,19
28,16
29,15
30,20
31,14
32,19
33,20
34,14
35,19
36,12
37,19
38,12
39,20
40,20
41,13
42,11
43,18
44,12
45,16
46,12
47,13
48,14
49,14
50,13
51,14
52,15
53,14
54,13
55,15
56,14
57,17
58,14
59,13
60,14
61,12
62,16
63,13
64,16
65,14
66,15
67,15
68,14
69,18
70,14
71,13
72,16
73,16
74,17
75,16
76,16
77,17
78,16
79,18
80,18
81,16
82,15
83,18
84,17
85,19
86,18
