frame,cars,police,robber
1,15,2,0
2,12,2,0
3,15,2,0
4,16,2,0
5,16,2,1
6,17,2,1
7,15,3,0
8,17,2,1
9,15,2,1
10,16,2,1
11,18,1,1
12,13,2,1
13,14,2,1
14,14,2,1
15,18,0,1
16,14,0,1
17,19,1,1
18,14,1,0
19,17,1,1
20,14,1,0
21,17,2,1
22,14,3,0
23,13,2,0
24,18,1,1
25,17,1,1
26,15,2,0
27,17,2,1
28,14,2,0
29,13,2,0
30,19,2,1
31,13,2,0
32,18,1,1
33,18,1,1
34,14,2,0
35,18,1,1
36,12,0,0
37,18,2,1
38,13,0,0
39,18,1,1
40,18,1,1
41,15,0,0
42,16,1,0
43,17,1,1
44,13,0,0
45,15,2,1
46,14,0,0
47,13,1,0
48,13,1,0
49,15,1,0
50,13,1,0
51,15,1,0
52,14,2,0
53,13,2,0
54,16,0,0
55,13,2,0
56,17,0,0
57,17,0,0
58,13,1,0
59,13,1,0
60,13,2,1
61,11,1,1
62,17,1,1
63,12,1,1
64,17,0,1
65,14,1,1
66,13,1,1
67,17,0,1
68,15,1,0
69,17,0,1
70,14,0,0
71,14,2,0
72,16,1,0
73,14,2,0
74,17,1,0
75,14,2,0
76,15,1,0
77,19,0,0
78,15,1,0
79,20,0,0
80,19,0,0
81,15,1,1
82,16,0,1
83,20,0,0
84,16,1,1
85,20,0,0
86,16,1,1
