frame,police_id,can_intercept,time_to_intercept,distance
5,18,1,-1,0.0
5,29,1,-1,0.0
10,1,0,3.0,159.23126379844203
11,18,0,3.0,101.78126149707776
11,29,0,3.0,101.78126149707776
12,1,0,3.0,56.859401109367546
13,29,0,3.0,94.69354590805561
15,1,0,3.0,123.21463656269464
17,1,0,3.0,111.7380373211361
20,1,0,3.0,55.486181755866816
22,18,0,-1,0.0
30,13,1,-1,0.0
31,18,1,42.176939267526656,0.0
33,18,0,3.0,79.1420400637744
35,18,0,3.0,59.659746641321966
50,47,1,11.883819932772438,0.0
53,47,0,3.0,31.268702386791663
