frame,active_count
1,14
2,17
3,14
4,17
5,24
6,24
7,24
8,24
9,24
10,24
11,24
12,24
13,24
14,24
15,24
16,24
17,24
18,24
19,24
20,24
21,24
22,24
23,24
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,24
32,24
33,24
34,24
35,24
36,24
37,24
38,24
39,24
40,24
41,24
42,24
43,24
44,24
45,24
46,24
47,19
48,19
49,22
50,19
51,22
52,22
53,19
54,19
55,22
56,22
57,19
58,22
59,19
60,19
61,29
62,19
63,29
64,29
65,19
66,19
67,29
68,19
69,29
70,19
71,29
72,19
73,29
74,18
75,29
76,18
77,29
78,29
79,18
80,29
81,18
82,29
83,24
84,28
85,24
86,24
87,27
88,24
89,27
90,27
91,23
92,23
93,27
94,23
95,27
96,27
97,23
98,23
99,27
100,23
101,27
102,27
103,22
104,22
105,27
106,22
107,27
108,27
109,22
110,22
111,27
112,22
113,27
114,27
115,22
116,22
117,22
118,27
119,21
120,27
121,27
122,21
123,21
124,27
125,20
126,27
127,26
128,20
129,20
130,26
131,20
132,26
133,26
134,20
135,20
136,26
137,20
138,26
139,26
140,20
141,20
142,26
143,20
144,26
145,26
146,20
147,20
148,26
149,26
150,20
151,26
152,20
153,20
154,26
155,26
156,20
157,20
158,25
159,20
160,25
161,20
162,25
163,24
164,20
165,20
166,24
167,20
168,24
169,23
170,19
171,19
172,23
173,19
174,22
175,21
176,18
177,21
178,18
179,21
180,18
181,20
182,20
183,18
184,18
185,24
186,18
187,24
188,24
189,18
190,18
191,24
192,18
193,24
194,24
195,18
