frame,police_id,can_intercept,time_to_intercept,distance
34,0,1,-1,0.0
34,10,1,-1,0.0
36,0,1,136.07297571838998,0.0
36,10,1,-1,0.0
38,0,1,116.82644869499806,0.0
38,10,1,246.28688040318377,0.0
40,0,1,22.504287755421533,0.0
40,10,1,54.392777445571575,0.0
43,0,1,12.290016669204793,0.0
43,10,1,19.726371787885192,0.0
45,0,0,-1,0.0
45,10,0,-1,0.0
46,0,0,-1,0.0
46,10,0,-1,0.0
49,10,0,-1,0.0
51,10,0,-1,0.0
52,10,1,2.4,49.502765444929196
55,10,1,10.046904019773345,0.0
56,10,0,3.0,120.87563641952772
58,10,0,3.0,63.66249886795015
61,29,0,-1,0.0
63,29,0,3.0,38.04691436188775
64,10,1,11.916669611734548,0.0
64,29,1,18.049966744838763,0.0
67,10,1,10.664888506026605,0.0
67,29,1,13.162413243175568,0.0
69,10,0,3.0,61.93417378043873
69,29,0,3.0,61.93417378043873
71,10,0,3.0,133.279550632462
71,29,0,3.0,133.279550632462
73,10,0,3.0,72.06781304427594
73,29,0,3.0,72.06781304427594
75,10,0,3.0,133.01674882449842
75,29,0,-1,0.0
77,10,0,3.0,44.68818540476233
77,29,0,-1,0.0
78,10,0,3.0,60.41175147933728
78,29,0,-1,0.0
80,10,0,3.0,116.9836191352301
80,29,0,-1,0.0
82,10,0,3.0,38.68223999188416
82,14,0,3.0,38.68223999188416
82,29,0,-1,0.0
84,10,0,3.0,35.72855422285426
84,14,0,3.0,35.72855422285426
87,10,0,3.0,81.95401411718731
87,14,0,-1,0.0
89,10,0,3.0,43.74580460789119
90,5,0,3.0,60.337929292767825
90,10,0,3.0,60.337929292767825
93,5,0,-1,0.0
93,10,0,-1,0.0
95,5,0,-1,0.0
95,10,0,-1,0.0
96,5,0,-1,0.0
96,10,0,-1,0.0
96,17,0,3.0,71.52354225132522
113,17,0,-1,0.0
114,17,0,3.0,66.25246076998667
118,17,1,68.86140854926333,0.0
120,17,1,52.451578047578494,0.0
132,17,0,-1,0.0
132,21,0,3.0,68.85067765263474
132,27,0,-1,0.0
133,17,0,-1,0.0
133,21,0,3.0,123.61102319789973
133,24,0,3.0,123.61102319789973
133,27,0,-1,0.0
136,17,0,-1,0.0
136,21,0,3.0,117.71633783451824
136,24,0,3.0,117.71633783451824
136,27,0,-1,0.0
138,17,0,-1,0.0
138,21,0,-1,0.0
138,24,0,3.0,72.36648719683558
138,27,0,-1,0.0
139,17,0,-1,0.0
139,21,0,3.0,124.59109977193293
139,24,0,3.0,124.59109977193293
139,27,0,-1,0.0
142,17,0,-1,0.0
142,24,0,3.0,115.98726391923509
144,17,0,-1,0.0
145,17,1,-1,0.0
145,24,1,15.21141438084312,0.0
148,17,0,-1,0.0
148,24,0,3.0,78.91236722626607
149,17,0,-1,0.0
149,24,0,3.0,61.81612027075428
150,8,1,41.72804581777759,0.0
152,8,1,2.8458901443728406,0.0
153,8,1,-1,0.0
155,2,0,3.0,81.81094537067287
155,17,0,-1,0.0
155,24,0,3.0,81.81094537067287
156,8,1,15.685224042970463,0.0
157,8,1,11.919123691497598,0.0
158,2,0,3.0,32.65967575576804
158,17,0,-1,0.0
158,24,0,-1,0.0
159,8,1,2.3691379240694643,0.0
160,17,1,-1,0.0
160,24,1,-1,0.0
161,8,1,19.7483629236573,0.0
161,20,1,5.8304144043543875,0.0
162,17,1,-1,0.0
164,8,1,22.495320773356344,0.0
164,20,1,24.3706797557374,0.0
165,8,1,3.906563112887513,0.0
165,20,1,4.007393842541048,0.0
167,8,1,20.875517621858386,0.0
167,20,1,2.5872545631478583,0.0
168,2,1,18.35429539965945,0.0
169,2,1,15.961037100465177,0.0
170,8,1,23.81497961315033,0.0
171,8,0,3.0,832.2037414263697
172,2,1,7.9099261927045434,0.0
173,8,0,-1,0.0
174,2,1,37.07235288284605,0.0
175,2,1,7.631316079060102,0.0
176,8,0,-1,0.0
176,20,0,3.0,32.10340679030455
177,2,1,1.8445141398255236,0.0
178,8,0,-1,0.0
178,20,0,3.0,138.36349544944625
179,2,1,3.4752135877160173,0.0
180,8,0,-1,0.0
180,20,0,3.0,31.450858782998466
181,2,1,22.655652595689318,0.0
182,2,0,3.0,220.546233404471
183,8,0,-1,0.0
183,20,0,3.0,33.210007208528346
184,8,0,-1,0.0
184,20,0,3.0,117.00657560183383
185,2,0,3.0,59.09985962226308
185,31,0,-1,0.0
186,8,0,-1,0.0
186,20,0,-1,0.0
189,8,1,-1,0.0
189,20,1,-1,0.0
190,8,0,-1,0.0
190,20,0,-1,0.0
192,8,1,-1,0.0
192,20,1,-1,0.0
195,8,1,4.151104530440726,0.0
195,20,1,-1,0.0
195,21,1,26.635270630503832,0.0
