frame,cars,police,robber
1,12,2,0
2,15,2,0
3,12,2,0
4,15,2,0
5,15,2,0
6,19,2,0
7,15,2,0
8,19,2,0
9,15,2,0
10,15,2,0
11,19,2,0
12,14,2,0
13,20,2,0
14,14,2,0
15,15,2,0
16,19,2,0
17,15,2,0
18,19,2,1
19,15,2,0
20,16,2,0
21,20,2,1
22,16,2,0
23,19,2,1
24,19,2,1
25,14,2,0
26,15,2,0
27,18,2,1
28,17,2,0
29,19,2,1
30,19,2,1
31,15,0,0
32,14,1,0
33,19,0,1
34,14,1,0
35,19,1,1
36,15,1,0
37,15,2,0
38,20,1,1
39,16,3,0
40,18,1,1
41,17,1,1
42,13,2,0
43,13,1,0
44,19,1,1
45,15,1,0
46,18,0,1
47,15,0,0
48,14,1,0
49,19,2,1
50,14,2,0
51,20,1,1
52,19,1,1
53,16,1,0
54,19,1,1
55,18,2,1
56,15,1,0
57,11,2,0
58,20,0,1
59,15,1,0
60,19,2,1
61,12,1,0
62,15,1,0
63,21,1,1
64,16,1,0
65,15,1,0
66,14,1,0
67,20,1,1
68,15,1,0
69,20,1,1
70,15,2,0
71,19,2,1
72,17,1,0
73,20,1,1
74,17,1,0
75,16,1,0
76,20,2,1
77,16,1,0
78,20,0,1
79,19,1,1
80,17,1,0
81,17,1,0
82,20,3,1
83,17,2,0
84,21,2,1
85,22,2,1
86,16,3,0
87,19,0,0
88,23,1,1
89,20,0,0
90,25,0,1
91,23,1,1
92,18,0,0
93,16,0,0
94,22,0,0
95,15,0,0
96,23,1,1
97,17,0,0
98,14,0,0
99,22,0,0
100,13,0,0
101,14,1,0
102,14,1,0
103,20,0,1
104,13,3,0
105,19,0,1
106,14,0,0
107,18,1,1
108,11,0,0
109,16,1,1
110,12,0,0
111,12,1,0
112,18,0,1
113,12,0,0
114,18,0,1
115,12,0,0
116,12,0,0
117,18,0,1
118,12,2,0
119,19,0,1
120,17,1,1
121,13,2,0
122,17,1,1
123,12,2,1
124,17,1,1
125,12,2,1
126,17,2,1
127,18,1,1
128,12,2,1
129,11,2,1
130,21,1,1
131,11,2,1
132,19,1,1
133,19,1,1
134,10,2,1
135,12,1,0
136,18,1,1
137,11,2,0
138,19,1,1
139,19,1,0
140,12,1,0
141,19,0,0
142,14,0,0
143,18,1,0
144,13,0,0
145,18,1,0
146,13,1,1
147,12,2,1
148,18,1,1
149,13,2,1
150,18,1,1
151,18,1,1
152,12,2,0
153,18,1,0
154,14,2,0
155,13,2,0
156,19,1,0
157,18,1,0
158,13,2,0
159,18,1,0
160,12,2,0
161,13,2,0
162,19,0,0
