frame,police_id,can_intercept,time_to_intercept,distance
26,18,1,-1,0.0
26,29,1,-1,0.0
27,18,0,-1,0.0
27,29,0,-1,0.0
29,18,1,-1,0.0
29,29,1,-1,0.0
32,18,0,3.0,59.11723581713236
32,29,0,3.0,59.11723581713236
34,29,0,3.0,67.40212412681171
35,29,0,3.0,63.43368408273156
46,18,0,3.0,28.545260547980618
50,18,0,3.0,41.89100165733051
68,24,0,3.0,111.17471469400351
70,24,1,6.2183886962074695,0.0
70,37,1,10.247962406783499,0.0
72,24,0,3.0,81.33268376023808
73,24,0,3.0,105.11058847693158
73,45,0,-1,0.0
75,45,0,3.0,133.88750425030435
75,24,0,3.0,133.88750425030435
77,24,0,3.0,104.06363940601477
78,37,1,16.761459329212137,0.0
78,24,1,6.642630155518657,0.0
86,24,0,3.0,82.22639919904779
86,37,0,3.0,82.22639919904779
88,37,0,3.0,78.80224970702837
88,24,0,3.0,78.80224970702837
90,37,0,3.0,66.81115270204815
96,37,0,3.0,59.295076470188796
98,37,0,3.0,66.21287815873762
99,37,0,3.0,82.29919043102734
102,37,0,3.0,61.72174531599926
104,37,0,3.0,62.00627569481599
104,66,0,3.0,62.00627569481599
105,66,0,3.0,86.30278368027324
107,66,0,3.0,95.0422042278535
109,66,0,3.0,60.03852283985532
123,24,0,-1,0.0
123,66,0,-1,0.0
124,66,0,3.0,73.70042692127697
124,24,0,3.0,73.70042692127697
135,66,0,3.0,103.09644070294446
136,66,0,3.0,136.24172835843984
139,65,0,3.0,100.90542986758255
139,66,0,3.0,100.90542986758255
140,49,1,27.30549213950658,0.0
141,65,0,3.0,102.04336935686123
141,66,0,3.0,102.04336935686123
142,65,0,3.0,136.09077867953255
142,66,0,3.0,136.09077867953255
143,49,0,3.0,51.223823698202146
144,8,0,3.0,264.49687235319067
144,49,0,3.0,264.49687235319067
145,8,0,3.0,159.02602546840876
145,49,0,3.0,159.02602546840876
146,66,0,3.0,90.13860650035359
147,8,0,3.0,63.132100471940745
147,49,0,3.0,63.132100471940745
148,59,0,-1,0.0
149,72,0,3.0,146.91492218811175
149,59,0,3.0,146.91492218811175
150,8,0,3.0,48.13625730559108
150,78,0,-1,0.0
151,59,0,3.0,123.48735046380654
153,59,0,3.0,42.57475717154506
155,59,0,3.0,25.548032833549662
155,72,0,3.0,25.548032833549662
156,59,0,3.0,36.12210895581552
156,72,0,3.0,36.12210895581552
159,59,0,3.0,11.56428048368061
159,72,0,3.0,11.56428048368061
161,72,0,3.0,4.085777464511153
162,66,1,3.6308660711645606,0.0
162,72,1,7.409642749699841,0.0
165,59,1,7.050905151516902,0.0
165,66,1,3.7568478050980274,0.0
165,72,1,10.833575902697893,0.0
