frame,active_count
1,17
2,14
3,17
4,20
5,11
6,12
7,11
8,20
9,18
10,16
11,16
12,19
13,16
14,20
15,16
16,15
17,20
18,15
19,21
20,15
21,15
22,18
23,17
24,18
25,16
26,16
27,19
28,17
29,18
30,17
31,13
32,20
33,12
34,21
35,15
36,14
37,18
38,14
39,20
40,21
41,14
42,14
43,18
44,13
45,16
46,13
47,11
48,13
49,15
50,15
51,15
52,14
53,12
54,12
55,14
56,13
57,14
58,14
59,16
60,15
61,13
62,11
63,14
64,16
65,14
66,13
67,13
68,18
69,13
70,18
71,13
72,17
73,11
74,18
75,12
76,17
77,14
78,19
79,12
80,11
81,12
82,19
83,12
84,20
85,13
86,21
87,12
88,21
89,20
90,13
91,17
92,16
93,16
94,17
95,20
96,15
97,21
98,15
99,21
100,19
101,15
102,13
103,20
104,12
105,21
106,13
107,20
108,13
109,20
110,12
111,13
112,13
113,22
114,13
115,21
116,15
117,20
118,14
119,19
120,19
121,14
122,12
123,18
124,15
125,18
126,19
127,14
128,14
129,16
130,17
131,12
132,19
133,12
134,12
135,18
136,13
137,18
138,18
139,14
140,12
141,18
142,14
143,19
144,19
145,13
