frame,cars,police,robber
1,15,2,0
2,12,2,0
3,15,2,0
4,18,2,0
5,14,2,0
6,18,2,0
7,14,2,0
8,19,2,0
9,17,2,0
10,14,2,0
11,14,2,0
12,18,2,0
13,14,2,0
14,19,2,0
15,14,2,0
16,14,2,0
17,18,2,1
18,14,2,0
19,18,2,1
20,13,2,0
21,15,2,0
22,17,2,0
23,15,2,0
24,17,2,1
25,14,2,0
26,15,2,0
27,19,2,1
28,16,2,0
29,18,2,1
30,16,2,0
31,12,2,0
32,19,2,1
33,13,2,0
34,18,2,1
35,15,2,0
36,14,2,0
37,18,1,1
38,15,3,0
39,18,2,1
40,18,2,1
41,13,2,0
42,13,2,0
43,17,1,1
44,12,1,0
45,17,1,1
46,14,0,1
47,15,1,0
48,16,1,1
49,14,2,0
50,16,2,0
51,14,1,1
52,14,0,0
53,15,0,1
54,13,1,1
55,17,1,0
56,19,0,1
57,14,1,0
58,14,2,0
59,15,2,0
60,14,1,0
61,12,1,0
62,13,1,0
63,15,2,0
64,16,2,1
65,14,0,0
66,12,1,0
67,14,1,0
68,17,2,1
69,15,0,0
70,16,1,1
71,16,0,0
72,16,2,1
73,11,2,0
74,16,2,1
75,14,1,0
76,18,2,1
77,13,2,0
78,17,2,1
79,12,0,0
80,13,2,0
81,12,1,0
82,18,2,1
83,11,2,0
84,18,2,1
85,12,2,0
86,20,2,1
87,12,1,0
88,19,2,1
89,17,2,1
90,15,1,0
91,20,1,1
92,15,1,0
93,14,2,0
94,19,1,1
95,20,1,1
96,15,1,0
97,22,1,1
98,15,1,0
99,21,1,1
100,16,3,1
101,14,1,0
102,14,1,0
103,20,1,1
104,12,2,0
105,17,4,1
106,13,3,0
107,18,2,1
108,14,1,0
109,20,1,1
110,14,0,0
111,15,1,0
112,12,2,0
113,20,1,1
114,15,2,0
115,18,2,1
116,13,2,1
117,18,3,1
118,13,2,1
119,17,2,1
120,16,3,1
121,13,0,1
122,13,1,1
123,18,2,1
124,14,0,1
125,17,1,1
126,17,3,1
127,13,0,1
128,12,2,1
129,16,1,1
130,16,2,1
131,11,1,0
132,18,1,1
133,12,1,0
134,12,1,0
135,17,2,1
136,14,1,0
137,17,2,1
138,17,2,1
139,15,0,0
140,14,0,0
141,16,2,1
142,14,0,0
143,18,2,1
144,17,1,1
145,18,0,0
