track_id,length_frames
1,57
2,86
3,28
4,2
5,71
6,57
7,8
8,81
9,3
10,5
11,11
12,2
13,3
14,2
15,32
16,70
17,59
18,65
19,7
20,88
21,16
22,79
23,19
24,76
25,18
26,83
27,50
28,1
29,9
30,3
37,36
38,79
39,3
40,78
41,30
42,70
43,21
44,13
45,4
46,49
47,68
32,78
33,16
34,71
35,11
36,10
31,56
49,17
50,5
51,20
52,70
53,54
55,8
54,53
57,7
48,8
59,15
60,73
58,61
61,37
62,60
64,25
65,53
63,36
66,47
67,34
70,9
71,40
72,50
73,45
74,15
75,24
76,13
77,10
69,30
78,11
79,15
80,23
82,29
83,10
84,13
85,2
86,19
87,19
89,14
91,9
92,8
93,1
96,2
94,6
95,6
98,1
99,2
