frame,active_count
1,17
2,14
3,17
4,24
5,23
6,24
7,23
8,23
9,24
10,23
11,24
12,23
13,24
14,24
15,23
16,23
17,24
18,23
19,24
20,24
21,23
22,24
23,23
24,24
25,23
26,24
27,24
28,23
29,23
30,24
31,23
32,24
33,24
34,23
35,23
36,24
37,23
38,24
39,24
40,23
41,23
42,24
43,23
44,24
45,24
46,23
47,22
48,24
49,22
50,23
51,23
52,21
53,21
54,23
55,21
56,23
57,23
58,21
59,20
60,19
61,23
62,19
63,22
64,22
65,19
66,19
67,22
68,19
69,28
70,28
71,26
72,26
73,28
74,26
75,28
76,28
77,26
78,26
79,27
80,26
81,27
82,27
83,26
84,26
85,27
86,26
87,27
88,27
89,25
90,25
91,27
92,25
93,27
94,27
95,24
96,24
97,27
98,27
99,24
100,27
101,24
102,24
103,27
104,24
105,27
106,24
107,23
108,27
109,23
110,27
111,27
112,23
113,23
114,27
115,23
116,27
117,27
118,22
119,21
120,27
121,21
122,27
123,27
124,21
