frame,cars,police,robber
1,15,2,0
2,11,3,0
3,15,2,0
4,17,2,1
5,16,2,0
6,17,2,1
7,15,2,0
8,15,2,0
9,17,1,1
10,15,1,0
11,17,2,1
12,15,2,0
13,18,2,1
14,17,0,1
15,15,1,0
16,15,1,0
17,18,1,1
18,14,1,0
19,19,1,1
20,18,0,1
21,14,1,0
22,18,1,1
23,14,2,0
24,18,1,1
25,14,2,0
26,17,1,1
27,17,2,1
28,14,1,0
29,12,2,0
30,18,1,1
31,14,2,0
32,19,0,1
33,19,0,1
34,14,1,0
35,14,1,0
36,16,2,1
37,12,2,0
38,16,2,1
39,18,0,1
40,13,0,0
41,14,1,0
42,16,2,1
43,13,0,0
44,16,2,1
45,16,2,1
46,14,0,0
47,15,0,0
48,18,0,1
49,15,2,0
50,17,1,1
51,17,1,1
52,16,2,0
53,15,1,0
54,17,2,1
55,14,1,0
56,18,2,1
57,16,3,1
58,14,2,0
59,15,2,0
60,16,2,0
61,17,1,1
62,15,2,0
63,19,2,1
64,19,2,1
65,15,2,0
66,15,4,0
67,20,1,1
68,15,2,0
69,21,2,1
70,20,2,1
71,16,4,0
72,16,3,0
73,21,1,1
74,15,3,0
75,19,1,1
76,19,2,1
77,16,1,0
78,17,3,1
79,20,1,1
80,15,3,1
81,20,1,1
82,18,1,1
83,13,3,1
84,16,3,1
85,19,1,1
86,16,3,1
87,20,1,1
88,20,1,1
89,16,3,1
90,12,4,1
91,19,2,1
92,16,2,0
93,19,1,1
94,20,2,1
95,15,3,0
96,17,1,0
97,17,0,0
98,17,0,0
99,20,0,0
100,16,0,0
101,17,1,0
102,17,0,1
103,21,0,1
104,14,0,1
105,17,1,1
106,18,1,1
107,18,1,0
108,19,1,1
109,18,2,0
110,20,1,0
111,21,1,0
112,18,0,0
113,17,0,0
114,19,1,0
115,17,0,0
116,20,1,0
117,20,1,0
118,16,1,0
119,16,2,1
120,20,1,0
121,17,0,1
122,19,1,0
123,20,1,0
124,17,2,1
