frame,police_id,can_intercept,time_to_intercept,distance
4,0,1,211.79602320441273,0.0
4,11,1,-1,0.0
4,13,1,2.457229438589923,0.0
6,0,0,-1,0.0
6,11,0,-1,0.0
9,0,0,-1,0.0
9,11,0,-1,0.0
11,0,0,3.0,87.96542814227439
11,11,0,3.0,87.96542814227439
13,0,0,3.0,59.20385943670544
13,11,0,3.0,59.20385943670544
14,0,0,-1,0.0
14,11,0,-1,0.0
17,0,0,3.0,119.38545539080373
17,11,0,-1,0.0
19,0,0,3.0,77.08464483719791
19,6,0,-1,0.0
19,11,0,-1,0.0
20,0,0,-1,0.0
20,11,0,-1,0.0
22,0,0,3.0,215.47297591322638
22,11,0,-1,0.0
24,0,0,3.0,46.28883472619524
24,11,0,-1,0.0
26,0,0,3.0,69.72575109317306
26,11,0,-1,0.0
27,0,0,3.0,82.59667704082847
27,5,0,-1,0.0
27,11,0,-1,0.0
30,0,0,-1,0.0
30,1,0,3.0,79.15686777336329
30,5,0,3.0,79.15686777336329
30,11,0,-1,0.0
32,0,0,-1,0.0
32,5,0,3.0,44.0759155295367
36,1,0,3.0,80.22755086612221
38,1,0,3.0,39.26917973559256
42,0,0,3.0,73.80054651378983
42,1,0,3.0,73.80054651378983
44,0,0,3.0,45.153827661478985
44,1,0,3.0,45.153827661478985
45,0,0,3.0,62.1371721948654
45,1,0,3.0,62.1371721948654
48,1,0,3.0,82.80402979290946
50,1,0,3.0,37.77536876968124
51,1,1,9.528525358941797,0.0
54,1,1,11.303620780898019,0.0
56,1,1,21.783366069511086,0.0
57,1,0,3.0,79.56742537537585
61,1,0,3.0,70.41796044974934
63,1,0,3.0,49.79051459317625
64,1,0,3.0,72.53473091161156
67,1,0,-1,0.0
67,23,0,3.0,68.37824188466688
69,1,0,3.0,8.62374474409598
69,23,0,3.0,8.62374474409598
70,1,0,3.0,58.567743703725775
70,23,0,3.0,58.567743703725775
73,1,1,14.770000846014193,0.0
73,23,1,33.390617434981344,0.0
75,1,1,37.92421735586131,0.0
87,1,0,3.0,69.67812010275622
87,17,0,-1,0.0
88,1,0,3.0,95.51477933813015
88,17,0,-1,0.0
91,1,0,3.0,128.54342790079698
91,17,0,-1,0.0
93,1,0,3.0,69.40517414721546
93,17,0,-1,0.0
94,1,0,3.0,112.96329270012238
94,17,0,-1,0.0
97,1,1,28.8937220609493,0.0
98,1,1,36.2309800345853,0.0
106,24,0,-1,0.0
107,24,0,-1,0.0
109,24,0,-1,0.0
