frame,timestamp,x,y,vx,vy
4,14.138368129730225,432.0,11.0,0.0,0.0
6,14.606040477752686,427.0,12.0,-10.708890441233542,2.1417780882467086
9,15.254475593566895,423.0,16.0,-6.135398309377051,6.135398309377051
11,15.879482746124268,405.0,19.0,-28.922854608944167,4.820475768157361
13,16.33537220954895,396.0,19.0,-19.73461981223514,0.0
14,16.63037395477295,386.0,19.0,-33.789988769711414,0.0
17,17.434677124023438,354.0,18.0,-39.77573479075452,-1.2429917122110787
19,17.902402639389038,342.0,18.0,-25.694881612399303,0.0
20,18.1879403591156,333.0,18.0,-31.458092667393906,0.0
22,18.66282367706299,299.0,18.0,-71.82432530440879,0.0
24,19.247902393341064,290.0,17.0,-15.335239977120274,-1.7039155530133638
26,19.722936868667603,279.0,18.0,-23.146467276516372,2.104224297865125
27,20.01420307159424,271.0,18.0,-27.532225680276156,0.0
30,20.772950410842896,251.0,17.0,-26.352702275630293,-1.3176351137815145
32,21.249887228012085,244.0,17.0,-14.691971843178896,0.0
36,22.323859214782715,216.0,17.0,-26.742516955374075,0.0
38,22.783040046691895,210.0,17.0,-13.089726578530847,0.0
42,23.889626026153564,183.0,17.0,-24.600182171263274,0.0
44,24.359418869018555,176.0,18.0,-14.90000294344824,2.128571849064034
45,24.649592876434326,170.0,18.0,-20.712390731621802,0.0
48,25.411792993545532,149.0,17.0,-27.57010234510744,-1.3128620164336875
50,25.894503831863403,143.0,18.0,-12.420464741644038,2.070077456940673
51,26.18950080871582,143.0,18.0,0.0,0.0
54,26.9795024394989,143.0,18.0,0.0,0.0
56,27.45022678375244,143.0,18.0,0.0,0.0
57,27.750858306884766,101.0,18.0,-26.522475125125283,0.0
61,29.115297555923462,69.0,19.0,-23.461200614315594,0.7331625191973623
63,29.601070165634155,62.0,23.0,-14.41009094612436,8.234337683499634
64,29.898680686950684,56.0,27.0,-20.117514734907562,13.411676489938374
67,30.68978476524353,41.0,17.0,-18.96471209548045,-12.643141396986966
69,31.184776306152344,42.0,18.0,2.032636129257371,2.032636129257371
70,31.507653951644897,41.0,55.0,-6.173582250691975,18.520746752075926
73,32.55521893501282,41.0,55.0,0.0,0.0
75,33.07006478309631,41.0,55.0,0.0,0.0
87,36.41533541679382,37.0,226.0,0.0,23.226040034252076
88,36.700040340423584,38.0,235.0,3.5159476150039777,31.6435285350358
91,37.493072509765625,38.0,269.0,0.0,42.847809300265666
93,37.967549562454224,38.0,280.0,0.0,23.135058049071812
94,38.26319909095764,37.0,291.0,-3.4090719933416564,37.49979192675822
97,39.0519335269928,37.0,291.0,0.0,0.0
98,39.410173416137695,37.0,291.0,0.0,0.0
106,41.603456258773804,36.0,261.0,-2.0325514182730284,12.19530850963817
107,42.157334089279175,90.0,250.0,97.63904589016381,-19.88943527392226
109,42.74697780609131,98.0,250.0,13.530743999877412,0.0
