frame,active_count
1,14
2,17
3,12
4,17
5,8
6,12
7,10
8,10
9,18
10,20
11,18
12,19
13,18
14,19
15,19
16,17
17,17
18,15
19,19
20,14
21,18
22,18
23,14
24,15
25,16
26,13
27,16
28,19
29,14
30,15
31,18
32,13
33,19
34,21
35,14
36,20
37,13
38,12
39,19
40,12
41,22
42,13
43,22
44,22
45,11
46,10
47,22
48,10
49,21
50,19
51,10
52,16
53,7
54,19
55,8
56,18
57,18
58,9
59,9
60,17
61,18
62,10
63,18
64,13
65,16
66,13
67,17
68,17
69,12
70,17
71,13
72,12
73,16
74,17
75,12
76,18
77,15
78,15
79,19
80,20
81,14
82,18
83,15
84,17
85,16
86,18
87,19
88,16
89,19
90,17
91,17
92,17
93,17
94,17
95,17
96,18
97,17
98,15
99,16
100,13
101,17
102,12
103,17
104,14
105,16
106,17
107,14
108,11
109,15
110,16
111,10
112,10
113,16
114,9
115,16
116,10
117,15
118,15
119,11
120,10
121,16
122,17
123,10
124,15
125,12
126,11
127,15
128,10
129,16
130,20
131,13
