frame,cars,police,robber
1,11,3,0
2,15,2,0
3,11,1,0
4,15,2,0
5,17,2,1
6,18,2,0
7,17,2,1
8,16,2,0
9,16,2,0
10,17,2,1
11,16,2,0
12,17,1,1
13,16,2,0
14,17,2,1
15,19,2,1
16,15,2,0
17,18,1,0
18,16,2,0
19,18,2,1
20,14,2,0
21,18,0,1
22,18,1,1
23,14,2,0
24,14,1,0
25,16,0,1
26,13,1,0
27,17,1,1
28,17,1,1
29,14,3,0
30,14,1,0
31,19,0,1
32,13,1,0
33,20,0,1
34,21,1,1
35,16,1,0
36,21,1,1
37,12,1,0
38,12,1,0
39,21,0,1
40,12,1,0
41,19,2,1
42,12,2,0
43,19,2,1
44,20,2,1
45,11,0,0
46,11,0,0
47,20,2,1
48,10,0,0
49,20,2,1
50,17,2,1
51,10,1,0
52,18,0,1
53,6,2,0
54,19,1,0
55,9,1,0
56,17,2,1
57,18,1,0
58,7,2,0
59,9,3,0
60,19,1,1
61,17,2,1
62,12,1,0
63,17,1,1
64,13,1,0
65,15,2,1
66,12,2,0
67,15,2,1
68,14,2,1
69,12,2,0
70,14,2,1
71,11,2,0
72,11,2,0
73,15,1,1
74,18,0,1
75,14,2,0
76,18,0,1
77,14,1,0
78,14,1,0
79,18,1,1
80,18,1,1
81,13,2,0
82,16,1,1
83,14,2,0
84,15,2,1
85,14,2,1
86,17,1,1
87,16,2,1
88,16,2,1
89,17,1,1
90,16,1,1
91,14,2,1
92,16,1,1
93,14,2,1
94,17,0,1
95,15,2,1
96,15,2,1
97,15,1,1
98,13,1,1
99,15,1,1
100,14,1,1
101,16,1,1
102,12,1,1
103,14,3,1
104,14,1,1
105,14,2,1
106,14,2,1
107,11,2,1
108,10,1,1
109,16,0,1
110,16,0,1
111,12,0,0
112,10,1,0
113,15,0,1
114,13,0,0
115,16,0,0
116,11,0,0
117,15,1,0
118,16,1,0
119,13,1,0
120,11,0,0
121,16,1,0
122,16,1,0
123,11,1,0
124,17,0,0
125,13,0,1
126,10,0,1
127,16,2,1
128,12,0,1
129,19,1,0
130,19,1,1
131,12,0,1
